"","host_species","betacov","pred"
"1","Eidolon helvum",0,0.420506310952476
"2","Eidolon helvum",1,0.420506310952476
"3","Epomophorus gambianus",0,0.303115568992277
"4","Epomophorus gambianus",1,0.303115568992277
"5","Epomops franqueti",1,0.241962340463172
"6","Epomops franqueti",0,0.241962340463172
"7","Hypsignathus monstrosus",0,0.225994414973056
"8","Micropteropus pusillus",0,0.29582023057022
"9","Micropteropus pusillus",1,0.29582023057022
"10","Miniopterus inflatus",0,0.14383574656974
"11","Miniopterus schreibersii",0,0.284330496573934
"12","Miniopterus schreibersii",1,0.284330496573934
"13","Mops condylurus",0,0.236767545219712
"14","Mops condylurus",1,0.236767545219712
"15","Myonycteris torquata",0,0.245349962213001
"16","Rhinolophus eloquens",0,0.116738148459004
"17","Rousettus aegyptiacus",0,0.405761267101768
"18","Rousettus aegyptiacus",1,0.405761267101768
"19","Rousettus amplexicaudatus",1,0.216205270267241
"20","Rousettus amplexicaudatus",0,0.216205270267241
"21","Cynopterus brachyotis",1,0.326937127282843
"22","Cynopterus brachyotis",0,0.326937127282843
"23","Cynopterus sphinx",0,0.425728812100233
"24","Cynopterus sphinx",1,0.425728812100233
"25","Emballonura alecto",0,0.157180813834848
"26","Eonycteris spelaea",0,0.314181375937586
"27","Eonycteris spelaea",1,0.314181375937586
"28","Epomops buettikoferi",0,0.140824702965952
"29","Haplonycteris fischeri",0,0.192605336441309
"30","Hipposideros armiger",0,0.306114888010051
"31","Hipposideros armiger",1,0.306114888010051
"32","Hipposideros caffer",0,0.301070208219837
"33","Hipposideros caffer",1,0.301070208219837
"34","Hipposideros cineraceus",0,0.211937926814943
"35","Hipposideros commersoni",1,0.260819139829466
"36","Hipposideros diadema",0,0.141388843081308
"37","Hipposideros larvatus",0,0.229563823178448
"38","Hipposideros pomona",0,0.245644185500761
"39","Lissonycteris angolensis",0,0.255517806147179
"40","Macroglossus minimus",0,0.156387793823398
"41","Miniopterus australis",0,0.0752681814762662
"42","Miniopterus pusillus",0,0.1761538966754
"43","Miniopterus tristis",0,0.100138226353872
"44","Myotis chinensis",0,0.276551054014247
"45","Myotis daubentonii",0,0.269418118660319
"46","Myotis daubentonii",1,0.269418118660319
"47","Myotis davidii",0,0.0172121682536366
"48","Myotis fimbriatus",0,0.111154754969697
"49","Nanonycteris veldkampii",0,0.150927443800935
"50","Nycteris hispida",0,0.159240101040584
"51","Pipistrellus javanicus",0,0.242286745189
"52","Pipistrellus pipistrellus",0,0.270777190412724
"53","Pipistrellus pipistrellus",1,0.270777190412724
"54","Ptenochirus jagori",1,0.20506295077881
"55","Rhinolophus affinis",0,0.288651839914717
"56","Rhinolophus affinis",1,0.288651839914717
"57","Rhinolophus arcuatus",0,0.101129473255125
"58","Rhinolophus ferrumequinum",0,0.300725671655795
"59","Rhinolophus ferrumequinum",1,0.300725671655795
"60","Rhinolophus pearsonii",1,0.305771304627427
"61","Rhinolophus pusillus",1,0.210453017926979
"62","Rhinolophus pusillus",0,0.210453017926979
"63","Rhinolophus rufus",0,0.0499687956132535
"64","Rhinolophus sinicus",0,0.188334952209066
"65","Rhinolophus sinicus",1,0.188334952209066
"66","Rousettus leschenaultii",0,0.402473540868733
"67","Rousettus leschenaultii",1,0.402473540868733
"68","Scotophilus kuhlii",0,0.0406472890534048
"69","Myotis ricketti",0,0.215467124466307
"70","Myotis ricketti",1,0.215467124466307
"71","Acerodon celebensis",0,0.113627867513465
"72","Acerodon humilis",0,0.0480010671477439
"73","Acerodon jubatus",0,0.145569091733787
"74","Acerodon leucotis",0,0.0889907993583813
"75","Acerodon mackloti",0,0.0900240541122455
"76","Aethalops aequalis",0,0.0321766898888101
"77","Aethalops alecto",0,0.12462385548573
"78","Alionycteris paucidentata",0,0.0988302364576961
"79","Ametrida centurio",0,0.0535660038278093
"80","Amorphochilus schnablii",0,0.0141094923301138
"81","Anoura caudifer",0,0.0409848783175184
"82","Anoura cultrata",0,0.0277032600657723
"83","Anoura geoffroyi",0,0.0773575277219136
"84","Anoura latidens",0,0.0283015166896613
"85","Anoura luismanueli",0,0.00802799646065652
"86","Anthops ornatus",0,0.0122584632911947
"87","Antrozous pallidus",0,0.0165620412469839
"88","Aproteles bulmerae",0,0.052784794164907
"89","Ardops nichollsi",0,0.023301440723699
"90","Arielulus aureocollaris",0,0.0710698674180517
"91","Arielulus circumdatus",0,0.214241299264875
"92","Arielulus cuprosus",0,0.0209141938381165
"93","Arielulus societatis",0,0.0329586142441058
"94","Arielulus torquatus",0,0.0676660603208781
"95","Ariteus flavescens",0,0.0148268334768016
"96","Artibeus amplus",0,0.0473535173928697
"97","Artibeus anderseni",0,0.021419048013907
"98","Artibeus aztecus",0,0.103150617276755
"99","Artibeus cinereus",0,0.0622654920448928
"100","Artibeus concolor",0,0.0609234703620613
"101","Artibeus fimbriatus",0,0.0738589057672334
"102","Artibeus fraterculus",0,0.041483885131438
"103","Artibeus glaucus",0,0.0979099570954869
"104","Artibeus gnomus",0,0.0652314161565338
