"","host_species","betacov","pred"
"1","Eidolon helvum",1,0.660688947250185
"2","Epomophorus gambianus",1,0.388172937191046
"3","Epomops franqueti",1,0.291225123723775
"4","Hypsignathus monstrosus",0,0.321713008944318
"5","Micropteropus pusillus",1,0.35186624359628
"6","Miniopterus inflatus",0,0.0651035365914639
"7","Miniopterus schreibersii",1,0.460754517845364
"8","Mops condylurus",1,0.234378347507181
"9","Myonycteris torquata",0,0.258925454738576
"10","Rhinolophus eloquens",0,0.031056885953937
"11","Rousettus aegyptiacus",1,0.68929089307861
"12","Rousettus amplexicaudatus",1,0.26956146123273
"13","Cynopterus brachyotis",1,0.426338995854478
"14","Cynopterus sphinx",1,0.638308163245934
"15","Emballonura alecto",0,0.0752408423841991
"16","Eonycteris spelaea",1,0.466940017556124
"17","Epomops buettikoferi",0,0.111615277026167
"18","Haplonycteris fischeri",0,0.133160793446161
"19","Hipposideros armiger",1,0.382969710583602
"20","Hipposideros caffer",1,0.380599115425692
"21","Hipposideros cineraceus",0,0.148093793683863
"22","Hipposideros commersoni",1,0.282393990426753
"23","Hipposideros diadema",0,0.0985785742235958
"24","Hipposideros larvatus",0,0.218094298900514
"25","Hipposideros pomona",0,0.227102199460293
"26","Lissonycteris angolensis",0,0.303506935973681
"27","Macroglossus minimus",0,0.163769991695032
"28","Miniopterus australis",0,0.0507117287258256
"29","Miniopterus pusillus",0,0.100322423951795
"30","Miniopterus tristis",0,0.0326271719726322
"31","Myotis chinensis",0,0.253322857000371
"32","Myotis daubentonii",1,0.469511492312116
"33","Myotis davidii",0,0.00915015410905801
"34","Myotis fimbriatus",0,0.0756956027762383
"35","Nanonycteris veldkampii",0,0.121659333500852
"36","Nycteris hispida",0,0.148869824789158
"37","Pipistrellus javanicus",0,0.230505228452602
"38","Pipistrellus pipistrellus",1,0.443488799749804
"39","Ptenochirus jagori",1,0.163236228386372
"40","Rhinolophus affinis",1,0.344366071388533
"41","Rhinolophus arcuatus",0,0.0314934044532389
"42","Rhinolophus ferrumequinum",1,0.518643571863681
"43","Rhinolophus pearsonii",1,0.355349774269818
"44","Rhinolophus pusillus",1,0.140339031513175
"45","Rhinolophus rufus",0,0.0134686450869731
"46","Rhinolophus sinicus",1,0.215220065901272
"47","Rousettus leschenaultii",1,0.643394856034463
"48","Scotophilus kuhlii",0,0.0220671259430776
"49","Myotis ricketti",1,0.20026347707651
"50","Acerodon celebensis",0,0.0627081044213774
"51","Acerodon humilis",0,0.0167389664448317
"52","Acerodon jubatus",0,0.0851529894191524
"53","Acerodon leucotis",0,0.0327916925113853
"54","Acerodon mackloti",0,0.0494761282084361
"55","Aethalops aequalis",0,0.0158864652781949
"56","Aethalops alecto",0,0.0546851562164518
"57","Alionycteris paucidentata",0,0.0450388341079544
"58","Ametrida centurio",0,0.0340483548519073
"59","Amorphochilus schnablii",0,0.00346109133585086
"60","Anoura caudifer",0,0.0344230643490588
"61","Anoura cultrata",0,0.0106096987120303
