"","host_species","betacov","pred"
"1","Eidolon helvum",0,0.382639482272238
"2","Eidolon helvum",1,0.382639482272238
"3","Epomophorus gambianus",0,0.286779645477387
"4","Epomophorus gambianus",1,0.286779645477387
"5","Epomops franqueti",1,0.214342339749723
"6","Epomops franqueti",0,0.214342339749723
"7","Hypsignathus monstrosus",0,0.244170353579988
"8","Micropteropus pusillus",0,0.233531375564748
"9","Micropteropus pusillus",1,0.233531375564748
"10","Miniopterus inflatus",0,0.0330157223121844
"11","Miniopterus schreibersii",0,0.338875049628452
"12","Miniopterus schreibersii",1,0.338875049628452
"13","Mops condylurus",0,0.151808052283168
"14","Mops condylurus",1,0.151808052283168
"15","Myonycteris torquata",0,0.209083308992538
"16","Rhinolophus eloquens",0,0.0114056287467267
"17","Rousettus aegyptiacus",0,0.488204209670592
"18","Rousettus aegyptiacus",1,0.488204209670592
"19","Rousettus amplexicaudatus",1,0.168901531469473
"20","Rousettus amplexicaudatus",0,0.168901531469473
"21","Cynopterus brachyotis",1,0.330661782906555
"22","Cynopterus brachyotis",0,0.330661782906555
"23","Cynopterus sphinx",0,0.387677801373709
"24","Cynopterus sphinx",1,0.387677801373709
"25","Emballonura alecto",0,0.0605226042761202
"26","Eonycteris spelaea",0,0.205224258988104
"27","Eonycteris spelaea",1,0.205224258988104
"28","Epomops buettikoferi",0,0.160115575941973
"29","Haplonycteris fischeri",0,0.108138355171621
"30","Hipposideros armiger",0,0.221411856771357
"31","Hipposideros armiger",1,0.221411856771357
"32","Hipposideros caffer",0,0.306614706582147
"33","Hipposideros caffer",1,0.306614706582147
"34","Hipposideros cineraceus",0,0.128446010734535
"35","Hipposideros commersoni",1,0.171711150104677
"36","Hipposideros diadema",0,0.0698446736826607
"37","Hipposideros larvatus",0,0.133723654618395
"38","Hipposideros pomona",0,0.165366294652395
"39","Lissonycteris angolensis",0,0.180875641634091
"40","Macroglossus minimus",0,0.0710361496297184
"41","Miniopterus australis",0,0.00674591893240658
"42","Miniopterus pusillus",0,0.115805903754319
"43","Miniopterus tristis",0,0.0348441076856961
"44","Myotis chinensis",0,0.156003525520974
"45","Myotis daubentonii",0,0.323385245672657
"46","Myotis daubentonii",1,0.323385245672657
"47","Myotis davidii",0,0.00380617097168583
"48","Myotis fimbriatus",0,0.0707096770402941
"49","Nanonycteris veldkampii",0,0.0749052833328753
"50","Nycteris hispida",0,0.106437044282592
"51","Pipistrellus javanicus",0,0.153430704446629
"52","Pipistrellus pipistrellus",0,0.311228815658526
"53","Pipistrellus pipistrellus",1,0.311228815658526
"54","Ptenochirus jagori",1,0.115822163006309
"55","Rhinolophus affinis",0,0.202367742135129
"56","Rhinolophus affinis",1,0.202367742135129
"57","Rhinolophus arcuatus",0,0.0467124424276955
"58","Rhinolophus ferrumequinum",0,0.349889261659502
"59","Rhinolophus ferrumequinum",1,0.349889261659502
"60","Rhinolophus pearsonii",1,0.205542780480093
"61","Rhinolophus pusillus",1,0.142603013559979
"62","Rhinolophus pusillus",0,0.142603013559979
"63","Rhinolophus rufus",0,0.0189460242560551
"64","Rhinolophus sinicus",0,0.154599924432501
"65","Rhinolophus sinicus",1,0.154599924432501
"66","Rousettus leschenaultii",0,0.337099623259688
"67","Rousettus leschenaultii",1,0.337099623259688
"68","Scotophilus kuhlii",0,0.00663113903797942
"69","Myotis ricketti",0,0.149057304010459
"70","Myotis ricketti",1,0.149057304010459
