"","host_species","betacov","pred"
"1","Eidolon helvum",0,0.400107770510398
"2","Eidolon helvum",1,0.400107770510398
"3","Epomophorus gambianus",0,0.288433509297571
"4","Epomophorus gambianus",1,0.288433509297571
"5","Epomops franqueti",1,0.220819665737607
"6","Epomops franqueti",0,0.220819665737607
"7","Hypsignathus monstrosus",0,0.255738904247152
"8","Micropteropus pusillus",0,0.248284868305534
"9","Micropteropus pusillus",1,0.248284868305534
"10","Miniopterus inflatus",0,0.0518120781732985
"11","Miniopterus schreibersii",0,0.331202441806438
"12","Miniopterus schreibersii",1,0.331202441806438
"13","Mops condylurus",0,0.170966816027066
"14","Mops condylurus",1,0.170966816027066
"15","Myonycteris torquata",0,0.207336126471783
"16","Rhinolophus eloquens",0,0.0272765052446023
"17","Rousettus aegyptiacus",0,0.49534528180112
"18","Rousettus aegyptiacus",1,0.49534528180112
"19","Rousettus amplexicaudatus",1,0.219507872010804
"20","Rousettus amplexicaudatus",0,0.219507872010804
"21","Cynopterus brachyotis",1,0.308100567672352
"22","Cynopterus brachyotis",0,0.308100567672352
"23","Cynopterus sphinx",0,0.425464972892318
"24","Cynopterus sphinx",1,0.425464972892318
"25","Emballonura alecto",0,0.0666492488896506
"26","Eonycteris spelaea",0,0.294134961740674
"27","Eonycteris spelaea",1,0.294134961740674
"28","Epomops buettikoferi",0,0.136739428662074
"29","Haplonycteris fischeri",0,0.116694660246875
"30","Hipposideros armiger",0,0.265514587549382
"31","Hipposideros armiger",1,0.265514587549382
"32","Hipposideros caffer",0,0.290429602041562
"33","Hipposideros caffer",1,0.290429602041562
"34","Hipposideros cineraceus",0,0.128703163190757
"35","Hipposideros commersoni",1,0.204079243839054
"36","Hipposideros diadema",0,0.101894593984407
"37","Hipposideros larvatus",0,0.161010909073955
"38","Hipposideros pomona",0,0.193659239580345
"39","Lissonycteris angolensis",0,0.21450182538574
"40","Macroglossus minimus",0,0.141299499647856
"41","Miniopterus australis",0,0.0297779500572801
"42","Miniopterus pusillus",0,0.0972796627219771
